Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude,Source,Possible Dup Of
Cure Organic Farm,Farm,7416 Valmont Rd,Boulder,,CO,,(303) 442-7696,,https://cureorganicfarm.com,,,,Farm stand Sat 8am–1pm,"May, June, July, August, September, October, November",,Yes,,,Certified organic · CSA · farm store · Boulder County since 1999,,,brightgarden,
Boulder Certified Farmers Market,Farmers' Market,13th St & Canyon Blvd,Boulder,,CO,,(303) 910-2236,,https://bcfm.org,,,,Wed 4–8pm · Sat 8am–2pm,"April, May, June, July, August, September, October, November",,,,,Colorado's top organic market · 150+ farmers · Pearl St adjacent · live music,,,brightgarden,Boulder Farmers Market
Denver Farmers Market Cherry Creek,Farmers' Market,1st Ave & University Blvd,Denver,,CO,,(303) 442-1837,,https://denverfarmersmarket.com,,,,Sat 7am–1pm · Wed 7am–1pm,"May, June, July, August, September, October",,,,,Denver's largest market · organic produce · 200+ vendors · Cherry Creek,,,brightgarden,
Fort Collins Farmers Market,Farmers' Market,Oak St & College Ave,Fort Collins,,CO,,,,https://fcfm.org,,,,Sat 8am–12pm,"May, June, July, August, September, October",,,,,Northern Colorado · organic produce · 100+ vendors · Old Town Fort Collins,,,brightgarden,Fort Collins Farmers' Market
Ela Family Farms,U-Pick Farm,28560 Hwy 65,Eckert,,CO,,(970) 527-3480,,https://elafamilyfarms.com,,,,Farm stand and u-pick seasonal,,,Yes,,,Certified organic since 1992 · apples · pears · cherries · u-pick · Western Slope CO,,,brightgarden,
Durango Farmers Market,Farmers' Market,259 W 9th Street,Durango,,CO,,,,,,,,,,,,,,"The Durango Farmers Market is a growers market, meaning all vendors who attend the market grew or ra",,,brightgarden,Durango Farmers Market
Pueblo Farmers Market,Farmers' Market,1500 North Santa Fe Avenue,Pueblo,,CO,,,,,,,,,,,,,,Pueblo Farmers Market is an organization dedicated to curating a local food access point and communi,,,brightgarden,Pueblo Farmers Market
Backyard Market in Black Forest,Farmers' Market,6845 Shoup Road,,,CO,,,,,,,,,,,,,,We are located in the heart of Black Forest at the corners of Shoup Rd and Black Forest Rd! Shop eve,,,brightgarden,The Backyard Market in Black Forest
Delta Farmers Market,Farmers' Market,1001 Colorado 92,Delta,,CO,,,,,,,,,,,,,,The Delta Farmers Market has moved to its new larger home at the newly remodeled TruVu DriveIn in De,,,brightgarden,Delta Farmers Market
Downtown Littleton Farmers Market,Farmers' Market,5671 South Nevada Street,Littleton,,CO,,,,,,,,,,,,,,"Littleton Q+ is dedicated to celebrating the vibrant tapestry of the Littleton, Colorado community.",,,brightgarden,Downtown Littleton Farmers Market
Fort Morgan Farmers Market,Farmers' Market,19592 East 8th Avenue,Fort Morgan,,CO,,,,,,,,,,,,,,"Established in 2023, the Fort Morgan Farmers Market honors the rich agricultural heritage of Northea",,,brightgarden,Fort Morgan Farmers Market
